Actions,Video,Name,Dim1,Dim2,Frames,ActorSex,DominantBodyPart,Rep Av,Rep SD,% Recognised,Formidable,Friendly,Planned,Abducting,ChangeModel,SocialityModel,TransitivityModel,FulfilmentModel,Quadrant
4,004.mp4,applying(face),-0.814,-0.027,150,M,Arm,7.233,1.775,0.6,-0.885,0.458,-0.096,-1.348,6.5,2.333,3.767,5,FrFeUp
7,007.mp4,asking(comparing),-0.54,-0.07,175,F,Arm,7.167,1.859,0.69,-0.085,0.532,-0.296,-0.34,5.733,5.467,3.567,5.8,FrFeUp
21,021.mp4,celebrating(together),0.303,-0.484,180,F,Trunk,7.267,1.388,0.7,2.242,0.168,-0.624,1.107,4.267,5.567,3.433,6.767,FrFoUp
26,026.mp4,counting,-0.664,0.566,180,F,Hand,7.167,1.416,0.8,-0.949,-0.088,0.925,-1.255,7.133,2.433,7.467,4.767,UfFePl
29,029.mp4,gesturing(no),-0.172,-0.264,110,F,Arm,8.067,1.143,0.867,0.464,-0.994,0.592,0.782,5.3,6.767,1.667,5.367,UfFoPl
51,051.mp4,fanning,-0.305,-0.356,170,M,Hand,7.3,1.579,0.567,1.096,-0.511,-0.508,-0.818,5.5,5.4,2.167,4.733,UfFoUp
60,060.mp4,gesturing(moveHere),-0.427,-0.419,145,M,Arm,7.3,1.643,0.867,0.825,1.103,0.765,-1.379,5.967,7.767,2.1,5.7,FrFoPl
62,062.mp4,gettingDown(ducking),0.62,-0.126,150,M,Trunk,8.067,1.172,0.9,0.169,-1.174,-1.331,0.768,4.567,4.333,3.6,4.8,
73,073.mp4,hugging,0.062,-0.43,160,M,Arm,8.267,0.828,1,0.97,2.053,1.32,-0.964,5.2,7.933,2.533,5.667,FrFoPl
79,079.mp4,kicking(passing),0.752,0.082,130,F,Leg,8.2,0.925,0.967,-0.57,1.001,0.604,1.327,5.067,5.7,7.567,5.767,FrFePl
81,081.mp4,kicking(aggressively),1.015,-0.143,150,M,Leg,7.467,1.655,0.931,1.335,-2.594,0.414,2.114,4.567,6.433,4.867,5.533,UfFoPl
85,085.mp4,laughing,-0.014,-0.586,170,F,Trunk,7.833,1.392,1,0.699,2.684,-1.017,0.22,5.367,6.033,1.5,5.2,FrFoUp
88,088.mp4,leaving,0.733,0.735,155,M,Leg,8.133,1.252,0.967,-1.492,-1.085,0.583,0.036,1.567,2.1,1.567,4.133,UfFePl
105,105.mp4,unscrewing,-0.529,0.258,100,M,Hand,7.567,1.87,0.733,-0.103,0.273,0.322,-1.32,5.3,2.2,6.8,3.3,FrFePl
119,119.mp4,prodding,-0.45,0.678,160,F,Hand,7,1.531,0.7,-0.52,-0.388,0.515,0.558,7,2.9,6.733,5.4,UfFePl
122,122.mp4,filling,-0.541,0.443,180,M,Hand,7.5,1.635,0.867,-0.865,0.469,1.077,-0.88,7.567,1.8,6.967,4.033,FrFePl
154,154.mp4,scratching(head),-0.791,-0.231,175,F,Arm,8.067,0.98,0.967,-1.139,-0.003,-1.522,-0.622,5.533,3.3,1.733,4.467,FrFeUp
166,166.mp4,smashing,0.6,-0.233,110,F,Arm,7.667,1.398,0.967,2.076,-2.772,0.091,2.286,6.733,4.367,7.4,5.267,UfFoPl
176,176.mp4,clenchingFist,0.133,0.667,175,F,Hand,7.967,1.712,0.833,-0.514,-2.177,-1.716,0.209,5.2,4.7,1.5,4.167,UfFeUp
178,178.mp4,staggering,0.784,-0.067,125,F,Leg,8.3,1.291,0.967,0.057,-1.395,-3.108,0.254,2.267,2.6,1.8,4.867,UfFoUp
183,183.mp4,stretchingSelf,0.045,0.273,170,M,Trunk,8.067,1.202,0.967,0.736,0.703,-0.723,0.082,5.967,1.867,1.533,2.8,FrFoUp
185,185.mp4,steadyingSomone,0.024,-0.149,180,F,Hand,7.2,1.827,0.767,-0.197,-0.359,-1.173,-0.884,5.967,5.467,4.5,5.267,UfFeUp
208,208.mp4,aching(back),0.415,0.513,180,F,Arm,8.467,0.819,0.967,-1.501,-0.955,-1.3,-0.313,4.967,2.4,1.533,3.2,UfFeUp
231,231.mp4,waving(hello),-0.241,-0.631,180,F,Arm,8.133,1.074,1,1.684,3.049,0.662,0.196,5.767,8,1.767,5.667,FrFoPl
