"","D1","D2"
"applying(face)",-0.607870795973875,0.482421044501768
"asking(comparing)",-0.413625201787637,0.264526738155202
"celebrating(together)",-0.201015965075186,-0.593459026809664
"counting",-0.145511204086925,0.757263193138819
"gesturing(no)",-0.436286633004379,-0.389521352645906
"fanning",-0.546222164120063,-0.113355216482773
"gesturing(move_here)",-0.663406357522056,-0.00911639600731139
"getting_down(ducking)",0.37034967500755,-0.372586934550274
"hugging",-0.111304052032341,-0.285489597851687
"kicking(passing)",0.652169950216825,-0.244916744247383
"kicking(aggressively)",0.752657317915084,-0.553778305582926
"laughing",-0.190794934927177,-0.0132242954393346
"leaving",0.93238288594618,0.0664645600341433
"unscrewing",-0.19514061674105,0.469418017015788
"prodding",0.255326141297405,0.654787911248301
"filling",-0.00726581702743276,0.563153040925154
"scratching(head)",-0.753834608979711,0.264766802751376
"smashing",0.0983926237050312,-0.628185141481626
"clenching_fist",0.537743877881615,0.390442541364259
"staggering",0.458911853613075,-0.581127611632064
"stretching_self",0.208885188387658,0.173393689963547
"steadying_somone",0.0821348601286406,-0.0999091092191636
"aching(back)",0.587684054663024,0.138079515500902
"waving(hello)",-0.664360077483358,-0.340047322647878
