"","applying(face)","asking(comparing)","celebrating(together)","counting","gesturing(no)","fanning","gesturing(move_here)","getting_down(ducking)","hugging","kicking(passing)","kicking(aggressively)","laughing","leaving","unscrewing","prodding","filling","scratching(head)","smashing","clenching_fist","staggering","stretching_self","steadying_somone","aching(back)","waving(hello)"
"applying(face)",0,4.76470588235294,6.53921568627451,5.64705882352941,6.2156862745098,4.45098039215686,4.48039215686275,7.13725490196078,6.53921568627451,7.1078431372549,7.30392156862745,5.95098039215686,7.15686274509804,4.08823529411765,6.38235294117647,5.52941176470588,4.36274509803922,7.01960784313725,6.53921568627451,7.22549019607843,6.15686274509804,6.46078431372549,6.68627450980392,6.03921568627451
"asking(comparing)",4.76470588235294,0,5.84313725490196,5.14705882352941,5.09803921568627,4.72549019607843,5.23529411764706,6.67647058823529,5.66666666666667,7.08823529411765,7.42156862745098,5.86274509803922,7.22549019607843,4.74509803921569,6.34313725490196,5.56862745098039,5.33333333333333,6.53921568627451,6.49019607843137,6.92156862745098,5.59803921568627,5,6.70588235294118,6.11764705882353
"celebrating(together)",6.53921568627451,5.84313725490196,0,6.97058823529412,5.44117647058824,4.80392156862745,5.74509803921569,5.22549019607843,5.63725490196078,5.81372549019608,5.58823529411765,4.74509803921569,6.80392156862745,6.67647058823529,6.95098039215686,6.87254901960784,6.58823529411765,4.6078431372549,6.40196078431373,5.7156862745098,5.7156862745098,4.99019607843137,6.84313725490196,4.52941176470588
"counting",5.64705882352941,5.14705882352941,6.97058823529412,0,6.6078431372549,6.35294117647059,6.37254901960784,6.99019607843137,6.66666666666667,6.82352941176471,7.43137254901961,6.46078431372549,7.1078431372549,3.90196078431373,4.14705882352941,3.8921568627451,6.47058823529412,6.80392156862745,6.00980392156863,7.2156862745098,6.33333333333333,6.58823529411765,6.7156862745098,6.96078431372549
"gesturing(no)",6.2156862745098,5.09803921568627,5.44117647058824,6.6078431372549,0,4.16666666666667,4.86274509803922,6.11764705882353,6.04901960784314,6.48039215686275,6.38235294117647,6.1078431372549,6.18627450980392,5.62745098039216,6.7156862745098,6.58823529411765,5.99019607843137,5.8921568627451,6.26470588235294,6.7156862745098,5.85294117647059,5.2843137254902,6.87254901960784,5.12745098039216
"fanning",4.45098039215686,4.72549019607843,4.80392156862745,6.35294117647059,4.16666666666667,0,2.79411764705882,6.25490196078431,5.64705882352941,6.59803921568627,6.62745098039216,5.51960784313725,7.05882352941176,5.16666666666667,6.37254901960784,6.2843137254902,5.95098039215686,5.96078431372549,6.85294117647059,6.75490196078431,5.79411764705882,5.30392156862745,6.77450980392157,4.36274509803922
"gesturing(move_here)",4.48039215686275,5.23529411764706,5.74509803921569,6.37254901960784,4.86274509803922,2.79411764705882,0,6.63725490196078,4.81372549019608,6.73529411764706,7.14705882352941,4.47058823529412,6.99019607843137,5.87254901960784,6.47058823529412,6.2156862745098,5.44117647058824,7,6.30392156862745,6.94117647058824,6.25490196078431,5.16666666666667,6.50980392156863,4.24509803921569
"getting_down(ducking)",7.13725490196078,6.67647058823529,5.22549019607843,6.99019607843137,6.11764705882353,6.25490196078431,6.63725490196078,0,6.61764705882353,5.22549019607843,4.79411764705882,6.13725490196078,6.7156862745098,6.72549019607843,6.7843137254902,6.17647058823529,7.01960784313725,4.38235294117647,6.1078431372549,4.8921568627451,6.20588235294118,4.93137254901961,5.80392156862745,6.67647058823529
"hugging",6.53921568627451,5.66666666666667,5.63725490196078,6.66666666666667,6.04901960784314,5.64705882352941,4.81372549019608,6.61764705882353,0,5.86274509803922,6.82352941176471,4.50980392156863,6.17647058823529,6.02941176470588,6.57843137254902,6.06862745098039,6.70588235294118,6.05882352941176,6.76470588235294,5.36274509803922,5.73529411764706,5.37254901960784,6.69607843137255,5.18627450980392
"kicking(passing)",7.1078431372549,7.08823529411765,5.81372549019608,6.82352941176471,6.48039215686275,6.59803921568627,6.73529411764706,5.22549019607843,5.86274509803922,0,3.3921568627451,5.86274509803922,6.25490196078431,6.67647058823529,6.72549019607843,7.20588235294118,7.00980392156863,5.75490196078431,6.53921568627451,4.2156862745098,6.09803921568627,6.48039215686275,4.91176470588235,6.25490196078431
