"","applying(face)","asking(comparing)","celebrating(together)","counting","gesturing(no)","fanning","gesturing(moveHere)","gettingDown(ducking)","hugging","kicking(passing)","kicking(aggressively)","laughing","leaving","unscrewing","prodding","filling","scratching(head)","smashing","clenchingFist","staggering","stretchingSelf","steadyingSomone","aching(back)","waving(hello)"
"applying(face)",0,3.5625,6.0625,3.53125,5.1875,2.96875,2.46875,5.8125,4.375,5.8125,6.21875,3.1875,5.1875,2.40625,5,3.3125,2.75,6.5,4.34375,6.03125,4.53125,5.625,3.90625,5.65625
"asking(comparing)",3.5625,0,4.71875,3.8125,3.1875,3.125,3.3125,4.75,3.71875,4.8125,5.28125,3.9375,5.59375,3.46875,5.03125,4.21875,4.03125,4.71875,4.84375,5.53125,3.21875,3.6875,4.8125,4.96875
"celebrating(together)",6.0625,4.71875,0,6.5,3.8125,4.46875,5.125,3.9375,4.28125,4.40625,3.28125,5.21875,6.0625,6.375,5.59375,5.9375,5.53125,2.9375,6.875,4.46875,3.875,3.53125,5.625,2.5
"counting",3.53125,3.8125,6.5,0,5.125,4.59375,4.5,5.21875,5.09375,4.8125,6.4375,4.15625,4.5,2,2.46875,2.34375,4.78125,6.46875,3.40625,5.25,5.3125,5.03125,4.0625,5.8125
"gesturing(no)",5.1875,3.1875,3.8125,5.125,0,2.71875,4.125,4.375,4.71875,4.46875,4.8125,4.875,5.25,4.46875,4.90625,4.6875,4.46875,4.84375,5.8125,5.03125,3.5,3.46875,5.09375,3.375
"fanning",2.96875,3.125,4.46875,4.59375,2.71875,0,1.40625,4.34375,3.3125,5.4375,5.15625,3.28125,5.59375,3.625,4.625,4.03125,3.4375,4.6875,5.40625,5.6875,3.5625,3.53125,5.25,3.625
"gesturing(moveHere)",2.46875,3.3125,5.125,4.5,4.125,1.40625,0,5.15625,3.375,4.9375,6.25,2.84375,5.59375,3.15625,4.5,4.5,3.46875,5.9375,4.0625,5.53125,4.375,3.875,4.53125,5.46875
"gettingDown(ducking)",5.8125,4.75,3.9375,5.21875,4.375,4.34375,5.15625,0,4.3125,4.03125,3.0625,4.4375,5.6875,4.71875,4.84375,4.875,5.65625,3.28125,5.9375,2.96875,4.5625,3.8125,4.25,5.25
"hugging",4.375,3.71875,4.28125,5.09375,4.71875,3.3125,3.375,4.3125,0,4.875,5.8125,3.53125,5.3125,4.3125,4.375,3.9375,4.65625,4.03125,5.125,4.25,3.78125,3.8125,4.4375,5.625
"kicking(passing)",5.8125,4.8125,4.40625,4.8125,4.46875,5.4375,4.9375,4.03125,4.875,0,2.84375,4.375,3.9375,5.15625,4.6875,5.21875,5.5625,4.78125,4.6875,2.59375,4.375,4.53125,3.28125,4.15625
"kicking(aggressively)",6.21875,5.28125,3.28125,6.4375,4.8125,5.15625,6.25,3.0625,5.8125,2.84375,0,6.15625,6.03125,6.1875,6.09375,6.09375,6.40625,2.96875,6.8125,2.65625,4.59375,4.875,6,3.875
"laughing",3.1875,3.9375,5.21875,4.15625,4.875,3.28125,2.84375,4.4375,3.53125,4.375,6.15625,0,5.15625,3.28125,3.9375,2.84375,4.5,5.375,4.75,4.34375,4,4.6875,3.75,5.0625
"leaving",5.1875,5.59375,6.0625,4.5,5.25,5.59375,5.59375,5.6875,5.3125,3.9375,6.03125,5.15625,0,4.59375,4.8125,4.25,4.71875,6.09375,3.3125,4.59375,4.90625,5.9375,4,5.75
"unscrewing",2.40625,3.46875,6.375,2,4.46875,3.625,3.15625,4.71875,4.3125,5.15625,6.1875,3.28125,4.59375,0,3.3125,2.03125,4.75,5.59375,4.6875,4.71875,3.5625,4.0625,4.21875,5.84375
"prodding",5,5.03125,5.59375,2.46875,4.90625,4.625,4.5,4.84375,4.375,4.6875,6.09375,3.9375,4.8125,3.3125,0,2.28125,5.125,5.28125,3.6875,5.0625,4.3125,4.6875,3.78125,5.21875
"filling",3.3125,4.21875,5.9375,2.34375,4.6875,4.03125,4.5,4.875,3.9375,5.21875,6.09375,2.84375,4.25,2.03125,2.28125,0,4.6875,5.625,3.84375,5.03125,4.09375,5.375,3.46875,5.875
"scratching(head)",2.75,4.03125,5.53125,4.78125,4.46875,3.4375,3.46875,5.65625,4.65625,5.5625,6.40625,4.5,4.71875,4.75,5.125,4.6875,0,6.25,4.15625,5.71875,3.875,4.59375,3.53125,3.59375
"smashing",6.5,4.71875,2.9375,6.46875,4.84375,4.6875,5.9375,3.28125,4.03125,4.78125,2.96875,5.375,6.09375,5.59375,5.28125,5.625,6.25,0,6.34375,3.84375,4.15625,4.375,5.71875,3.6875
"clenchingFist",4.34375,4.84375,6.875,3.40625,5.8125,5.40625,4.0625,5.9375,5.125,4.6875,6.8125,4.75,3.3125,4.6875,3.6875,3.84375,4.15625,6.34375,0,5.53125,5.21875,5.8125,3.625,6.09375
