"","applying(face)","asking(comparing)","celebrating(together)","counting","gesturing(no)","fanning","gesturing(moveHere)","gettingDown(ducking)","hugging","kicking(passing)","kicking(aggressively)","laughing","leaving","unscrewing","prodding","filling","scratching(head)","smashing","clenchingFist","staggering","stretchingSelf","steadyingSomone","aching(back)","waving(hello)"
"applying(face)",0,2.86666666666667,5.16666666666667,3.33333333333333,4.6,4.06666666666667,4,5.56666666666667,4.6,3.96666666666667,6.16666666666667,4.1,4.9,2.86666666666667,3.3,2.6,2.76666666666667,7,5.1,5.4,3.53333333333333,4.56666666666667,3.3,5.16666666666667
"asking(comparing)",2.86666666666667,0,5.63333333333333,3.36666666666667,3.96666666666667,3.56666666666667,4.2,4.8,3.96666666666667,3.76666666666667,6.3,4.36666666666667,5.23333333333333,3.33333333333333,3.93333333333333,3.53333333333333,3.4,5.76666666666667,5.36666666666667,4.73333333333333,3.63333333333333,3.66666666666667,4.3,4.13333333333333
"celebrating(together)",5.16666666666667,5.63333333333333,0,5.43333333333333,4.6,4.26666666666667,4.43333333333333,3.2,4.4,4.73333333333333,3.63333333333333,2.73333333333333,4.76666666666667,5.03333333333333,5,5.23333333333333,6,4.03333333333333,4.66666666666667,4.13333333333333,5.06666666666667,3.93333333333333,6.1,3.93333333333333
"counting",3.33333333333333,3.36666666666667,5.43333333333333,0,4.7,4.43333333333333,4.73333333333333,4.93333333333333,4.96666666666667,3.93333333333333,6.06666666666667,4.6,5.46666666666667,2.2,2.5,2.16666666666667,3.2,6.46666666666667,5.2,4.93333333333333,3.93333333333333,4.46666666666667,3.83333333333333,4.96666666666667
"gesturing(no)",4.6,3.96666666666667,4.6,4.7,0,3.4,5.26666666666667,3.43333333333333,6.23333333333333,4.83333333333333,3.5,6.1,2.73333333333333,4.93333333333333,4.6,5.1,3.9,3.1,3.53333333333333,3.26666666666667,4.23333333333333,4.83333333333333,3.7,5.9
"fanning",4.06666666666667,3.56666666666667,4.26666666666667,4.43333333333333,3.4,0,3.7,4.6,4.76666666666667,3.86666666666667,5.13333333333333,4.36666666666667,5.03333333333333,4.3,4.66666666666667,4.13333333333333,4.26666666666667,5.03333333333333,5.2,5.1,4.23333333333333,4.06666666666667,3.86666666666667,3.83333333333333
"gesturing(moveHere)",4,4.2,4.43333333333333,4.73333333333333,5.26666666666667,3.7,0,5.73333333333333,1.63333333333333,3.13333333333333,6.8,1.8,6.4,3.63333333333333,4.3,4.13333333333333,4.56666666666667,6.9,6.4,5.7,4.36666666666667,4.06666666666667,4.56666666666667,2.2
"gettingDown(ducking)",5.56666666666667,4.8,3.2,4.93333333333333,3.43333333333333,4.6,5.73333333333333,0,6.16666666666667,4.73333333333333,2.6,5.93333333333333,3.4,5.2,5.33333333333333,5.23333333333333,5.43333333333333,3.36666666666667,3.76666666666667,3.6,5.1,4.33333333333333,3.9,6.06666666666667
"hugging",4.6,3.96666666666667,4.4,4.96666666666667,6.23333333333333,4.76666666666667,1.63333333333333,6.16666666666667,0,3.33333333333333,7.73333333333333,1.56666666666667,6.9,4.2,5.3,4.2,5.26666666666667,7.36666666666667,7.1,5.93333333333333,5.16666666666667,4.1,5.6,0.566666666666667
"kicking(passing)",3.96666666666667,3.76666666666667,4.73333333333333,3.93333333333333,4.83333333333333,3.86666666666667,3.13333333333333,4.73333333333333,3.33333333333333,0,5.16666666666667,2.76666666666667,5.83333333333333,4.1,3.76666666666667,4,4.96666666666667,6.13333333333333,5.36666666666667,4.6,3.96666666666667,3.86666666666667,4.5,3.16666666666667
