"","applying(face)","asking(comparing)","celebrating(together)","counting","gesturing(no)","fanning","gesturing(moveHere)","gettingDown(ducking)","hugging","kicking(passing)","kicking(aggressively)","laughing","leaving","unscrewing","prodding","filling","scratching(head)","smashing","clenchingFist","staggering","stretchingSelf","steadyingSomone","aching(back)","waving(hello)"
"applying(face)",0,3.36666666666667,5.03333333333333,3.93333333333333,4.46666666666667,3.9,4.1,5.56666666666667,4.46666666666667,4.9,5.5,4.3,4.86666666666667,3.46666666666667,4.43333333333333,4.1,2.7,5.3,4.7,5.93333333333333,3.76666666666667,5.03333333333333,4.73333333333333,4.43333333333333
"asking(comparing)",3.36666666666667,0,4.46666666666667,4.06666666666667,4.36666666666667,4.26666666666667,3.56666666666667,5.23333333333333,4.23333333333333,4.8,5.03333333333333,4.86666666666667,4.43333333333333,3.9,3.83333333333333,4.16666666666667,4.36666666666667,5.2,5,5.83333333333333,4.93333333333333,4.46666666666667,5.3,4.56666666666667
"celebrating(together)",5.03333333333333,4.46666666666667,0,5.4,4.4,3.73333333333333,3.73333333333333,4.43333333333333,4.56666666666667,4.13333333333333,4.06666666666667,4.63333333333333,5.33333333333333,5.63333333333333,5.13333333333333,5.2,4.96666666666667,3.36666666666667,4.56666666666667,4.96666666666667,4.23333333333333,4.26666666666667,5.16666666666667,3.6
"counting",3.93333333333333,4.06666666666667,5.4,0,4.63333333333333,5.03333333333333,4.06666666666667,5.8,3.8,4,4.83333333333333,5.8,4.7,2.26666666666667,2.36666666666667,2.16666666666667,5.16666666666667,4.96666666666667,5.53333333333333,6.83333333333333,4.8,5.56666666666667,5.6,4.3
"gesturing(no)",4.46666666666667,4.36666666666667,4.4,4.63333333333333,0,3.33333333333333,3.73333333333333,5.23333333333333,4.93333333333333,5.1,3.86666666666667,5.2,3.33333333333333,4.63333333333333,4.56666666666667,4.63333333333333,4.6,3.63333333333333,4.36666666666667,6.43333333333333,4.53333333333333,4.13333333333333,4.66666666666667,4
"fanning",3.9,4.26666666666667,3.73333333333333,5.03333333333333,3.33333333333333,0,2.46666666666667,4.03333333333333,3.93333333333333,4.83333333333333,5.1,4.3,4.83333333333333,4.56666666666667,5.16666666666667,4.86666666666667,4.1,4.6,4.83333333333333,5.6,4.1,4.56666666666667,4.53333333333333,3.33333333333333
"gesturing(moveHere)",4.1,3.56666666666667,3.73333333333333,4.06666666666667,3.73333333333333,2.46666666666667,0,5.93333333333333,2.23333333333333,3.73333333333333,5.2,3.63333333333333,4.96666666666667,4.23333333333333,4.03333333333333,3.53333333333333,4.53333333333333,4.93333333333333,5.23333333333333,5.93333333333333,4.76666666666667,4.56666666666667,5.06666666666667,1.43333333333333
"gettingDown(ducking)",5.56666666666667,5.23333333333333,4.43333333333333,5.8,5.23333333333333,4.03333333333333,5.93333333333333,0,5.6,4.26666666666667,3.96666666666667,5.53333333333333,5.03333333333333,5.3,5.7,5.96666666666667,4.8,4.73333333333333,3.93333333333333,4.73333333333333,4.9,3.23333333333333,4.63333333333333,5.1
"hugging",4.46666666666667,4.23333333333333,4.56666666666667,3.8,4.93333333333333,3.93333333333333,2.23333333333333,5.6,0,4.23333333333333,5.2,4.4,4.33333333333333,3.73333333333333,4,4.23333333333333,5.66666666666667,5.3,5.93333333333333,5.66666666666667,4.66666666666667,5.16666666666667,5.4,2.2
"kicking(passing)",4.9,4.8,4.13333333333333,4,5.1,4.83333333333333,3.73333333333333,4.26666666666667,4.23333333333333,0,3.93333333333333,5.23333333333333,4.5,4.36666666666667,3.93333333333333,4,5.63333333333333,3.86666666666667,5.66666666666667,5,4.73333333333333,5.23333333333333,4.66666666666667,4.06666666666667
"kicking(aggressively)",5.5,5.03333333333333,4.06666666666667,4.83333333333333,3.86666666666667,5.1,5.2,3.96666666666667,5.2,3.93333333333333,0,6.13333333333333,4.7,5.23333333333333,4.76666666666667,5.46666666666667,6.13333333333333,2.23333333333333,3.83333333333333,5.63333333333333,4.26666666666667,5.53333333333333,6.06666666666667,4.8
"laughing",4.3,4.86666666666667,4.63333333333333,5.8,5.2,4.3,3.63333333333333,5.53333333333333,4.4,5.23333333333333,6.13333333333333,0,5.8,5.36666666666667,5.63333333333333,5.26666666666667,3.7,5.96666666666667,4.83333333333333,4.46666666666667,4.03333333333333,4.4,4.36666666666667,3.36666666666667
